,Character,Actor,Role,Episode_Debut,Original_Air_Date
100,Ruth Powers,Pamela Reed,The Simpsons' next door neighbor.,"""New Kid on the Block""",1992-11-12
101,Martin Prince,Russi Taylor,Student at Springfield Elementary School.,"""Bart the Genius""",1990-01-14
102,Loren Pryor,Harry Shearer,Springfield Elementary's school psychologist.,"""Bart the Genius""",1990-01-14
103,"Mayor ""Diamond"" Joe Quimby",Dan Castellaneta,Mayor of Springfield.,"""The Call of the Simpsons""",1990-10-11
104,Radioactive Man,Harry Shearer,Comic book superhero.,"""Three Men and a Comic Book""",1991-5-9
105,The Rich Texan,Dan Castellaneta,Philanthropist.,"""$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)""",1993-12-16
106,Richard,"Pamela Hayden, Nancy Cartwright",Student at Springfield Elementary School.,"""Bart the Genius""",1990-01-14
107,Luigi Risotto,Hank Azaria,Italian restaurant proprietor.,"""Sweet Seymour Skinner's Baadasssss Song""",1994-04-28
108,Dr. Nick Riviera,Hank Azaria,"Incompetent medical doctor. Injured at the end of the movie by a falling chunk of glass, and brought back in the twentieth season.","""Bart Gets Hit by a Car""",1991-01-10
109,Santa's Little Helper,"Dan Castellaneta, Frank Welker",The Simpson family's pet dog.,"""Simpsons Roasting on an Open Fire""",1989-12-17
110,Sherri and Terri,Russi Taylor (1990-2019) Grey DeLisle (2019-present),Identical twins; Students at Springfield Elementary School.,"""Homer's Odyssey""",1990-01-21
111,Dave Shutton,Harry Shearer,Reporter for The Springfield Shopper.,"""Two Cars in Every Garage and Three Eyes on Every Fish""",1990-11-01
112,Robert Terwilliger,Kelsey Grammer,Criminal mastermind and Krusty the Clown Show ex-operator and sidekick.,"""The Telltale Head""",1990-02-25
113,Sideshow Mel,Dan Castellaneta,The Krusty the Clown Show sidekick.,"""Itchy & Scratchy & Marge""",1990-12-20
114,Grampa Simpson,Dan Castellaneta,"Homer Simpson's father; Bart, Lisa, and Maggie Simpson's grandfather.","""Grampa and the Kids"" (The Simpsons shorts)",1988-01-10
115,Amber Simpson,Pamela Hayden,"Homer Simpson's deceased ""Vegas wife.""","""Viva Ned Flanders""",1999-01-10
116,Mona Simpson,"Glenn Close, Tress MacNeille, Maggie Roswell",Estranged mother of Homer Simpson and wife of Abe Simpson.,"""Oh Brother, Where Art Thou?""",1991-02-21
117,Agnes Skinner,Tress MacNeille,Seymour Skinner's mother.,"""The Crepes of Wrath""",1990-04-15
118,Seymour Skinner,Harry Shearer,Principal of Springfield Elementary School.,"""Simpsons Roasting on an Open Fire""",1989-12-17
